Rarely did he make anything clear.,-1
He was obviously passionate about the material but he could not explain it in a way that I could at all understand.,-1
His test questions are very confusing due to the way they are worded.,-1
The class website was not on D2L but on a website he made himself which is extremely hard to use / follow.,-1
All around this class was very confusing.,-1
The people sitting next to me helped me more than the actual professor.,-1
At the beginning the math page was difficult to navigate.,-1
At the start of class in the beginning of the semester it would be helpful if he gave out handouts for students to follow along with just at the start.,-1
Change the format of the tests.,-1
Give more practice problems that we can go over the next day in class.,-1
Grade on additional things besides just tests.,-1
Have in class review before the in class exams reviewing the purpose of each section and a reminder of the different processes learned.,-1
He needs to speak up and he can be very confusing in how he explains each topic to the point of frustration.,-1
He should actually teach and explain what he is doing and why and how you get the answer.,-1
He shouldn't use shortcuts because some students don't know how he got it.,-1
We need to show our work so he should show us his work and each step to get to the answer.,-1
He also tells the class stories that have nothing to do with math or what were learning in the class though he somehow thinks he's relating it to math.,-1
it is very boring and unrelated to the subject.,-1
Potentially have the homework worth some sort of points so the whole grade isn't exam based.,-1
Speak up a little louder.,-1
Spend a little more time on each subject to make sure it's understood better.,-1
Spend less time on each example problem in order to cover more.,-1
The instructor should consider the idea that sometimes circumstances out of the control of the student arise and it would be appreciated if extensions on deadlines were allowed.,-1
Instructor was less than understanding when life events occurred and a student was unable to submit an assignment on time and indicated that it was not an acceptable reason for an extension.,-1
Treated the class as a business and was very cold personally.,-1
Professor spoke so softly in class that it was difficult to hear what he was saying even when sitting In the front of the classroom.,-1
make more online assignments required.,-1
An updated class website would be a small improvement to the course.,-1
I think that the importance of the history needs to be more stressed for the exam.,-1
Also I do not think it is fair that at best - only half of the class can get an A.,-1
How he grades the course is completely not fair.,-1
It needs to be changed.,-1
I was not a fan of how the final test was graded I feel as though it was an unfair assessment of how we did in the class.,-1
I don't feel like I personally learned enough to justify a semester-long course.,-1
Perhaps add another element to the course for people who already know the basics?.,-1
This is a rare occurrence but I did find myself hung up a couple of times.,-1
Eric Egan was very interested in teaching,-1
I have only missed one class the entire semester I always take notes and I studied extremely hard for every exam! I still was never able to receive an A on an exam which is really upsetting.,-1
I did notice that while information about vision (his specialty) was very organized and clearly presented it seemed like other topics were less so particularly taste and touch.,-1
These topics weren't taught as clearly at first.,-1
